Data Image Name;Original Image Name
0001.jpg;images/ADE/training/urban/street/ADE_train_00017824.jpg
0002.jpg;images/ADE/validation/urban/street/ADE_val_00000815.jpg
0003.jpg;images/ADE/training/sports_and_leisure/poolroom__establishment/ADE_train_00015478.jpg
0004.jpg;images/ADE/training/urban/street/ADE_train_00018069.jpg
0005.jpg;images/ADE/validation/nature_landscape/badlands/ADE_val_00001054.jpg
0006.jpg;images/ADE/training/urban/street/ADE_train_00017834.jpg
0007.jpg;images/ADE/training/home_or_hotel/garage__indoor/ADE_train_00008483.jpg
0008.jpg;images/ADE/training/unclassified/outliers__snack_bar/ADE_train_00014744.jpg
0009.jpg;images/ADE/training/urban/street/ADE_train_00017645.jpg
0010.jpg;images/ADE/validation/urban/street/ADE_val_00000861.jpg
0011.jpg;images/ADE/training/sports_and_leisure/ballroom/ADE_train_00002290.jpg
0012.jpg;images/ADE/training/urban/street/ADE_train_00016937.jpg
0013.jpg;images/ADE/training/work_place/dressing_room/ADE_train_00007446.jpg
0014.jpg;images/ADE/training/shopping_and_dining/food_court/ADE_train_00008036.jpg
0015.jpg;images/ADE/validation/urban/street/ADE_val_00000844.jpg
0016.jpg;images/ADE/validation/unclassified/misc/ADE_val_00001570.jpg
0017.jpg;images/ADE/training/urban/air_base/ADE_train_00001024.jpg
0018.jpg;images/ADE/training/sports_and_leisure/bullring/ADE_frame_00000059.jpg
0019.jpg;images/ADE/training/urban/street/ADE_train_00017860.jpg
0020.jpg;images/ADE/training/sports_and_leisure/fairway/ADE_frame_00000141.jpg
0021.jpg;images/ADE/training/home_or_hotel/living_room/ADE_train_00011434.jpg
0022.jpg;images/ADE/training/transportation/cockpit/ADE_frame_00000117.jpg
0023.jpg;images/ADE/validation/transportation/airport_terminal/ADE_val_00000009.jpg
0024.jpg;images/ADE/training/urban/street/ADE_train_00016967.jpg
0025.jpg;images/ADE/training/urban/street/ADE_train_00017019.jpg
0026.jpg;images/ADE/training/nature_landscape/crevasse/ADE_train_00006515.jpg
0027.jpg;images/ADE/validation/urban/roundabout/ADE_val_00000736.jpg
0028.jpg;images/ADE/training/urban/street/ADE_train_00018126.jpg
0029.jpg;images/ADE/training/urban/street/ADE_train_00017000.jpg
0030.jpg;images/ADE/validation/urban/street/ADE_val_00000816.jpg
0031.jpg;images/ADE/training/work_place/bookbindery/ADE_train_00004374.jpg
0032.jpg;images/ADE/validation/urban/street/ADE_val_00001858.jpg
0033.jpg;images/ADE/training/urban/street/ADE_train_00017468.jpg
